feature,source_column
ID,pre-harmonized
subject_id,pre-harmonized
AGE,pre-harmonized
AMH,pre-harmonized
LH,pre-harmonized
FSH,pre-harmonized
TESTO_TOTAL,pre-harmonized
TESTO_FREE,pre-harmonized
SHBG,pre-harmonized
DHEA_S,pre-harmonized
GLU0,pre-harmonized
GLU120,pre-harmonized
INS0,pre-harmonized
TG,pre-harmonized
HDL,pre-harmonized
LDL,pre-harmonized
TCHOL,pre-harmonized
TSH,pre-harmonized
FT4,pre-harmonized
ATA_TPO,pre-harmonized
ATA_TG,pre-harmonized
CORT_8,pre-harmonized
CORT_23,pre-harmonized
WBC,pre-harmonized
NEUT,pre-harmonized
LYMPH,pre-harmonized
MON,pre-harmonized
PLT,pre-harmonized
RDW,pre-harmonized
MPV,pre-harmonized
CRP,pre-harmonized
NLR_raw,pre-harmonized
PLR_raw,pre-harmonized
LH_FSH_ratio,pre-harmonized
FAI,pre-harmonized
HOMA_IR,pre-harmonized
QUICKI,pre-harmonized
TyG,pre-harmonized
non_HDL,pre-harmonized
TG_HDL_ratio,pre-harmonized
ATA_TPO_log1p,pre-harmonized
ATA_TG_log1p,pre-harmonized
CORT_ratio_23_8,pre-harmonized
NLR,pre-harmonized
PLR,pre-harmonized
MPR,pre-harmonized
impaired_glucose_tolerance,pre-harmonized
atherogenic_TG_HDL,pre-harmonized
elevated_non_HDL,pre-harmonized
insulin_resistance_HOMA_IR,pre-harmonized
