feature,missing_rate
ID,0.0
subject_id,0.0
AGE,0.034992223950233284
AMH,0.13919129082426127
LH,0.11975116640746501
FSH,0.11975116640746501
TESTO_TOTAL,0.11741835147744946
TESTO_FREE,0.14618973561430793
SHBG,0.11975116640746501
DHEA_S,0.11741835147744946
GLU0,0.1321928460342146
GLU120,0.13374805598755832
INS0,0.20217729393468117
TG,0.1181959564541213
HDL,0.1181959564541213
LDL,0.1181959564541213
TCHOL,0.1181959564541213
TSH,0.11897356143079316
FT4,0.11975116640746501
ATA_TPO,0.1905132192846034
ATA_TG,0.25660964230171074
CORT_8,0.11975116640746501
CORT_23,0.12052877138413685
WBC,0.2690513219284603
NEUT,0.29937791601866254
LYMPH,0.29937791601866254
MON,0.29937791601866254
PLT,0.2690513219284603
RDW,0.2690513219284603
MPV,0.2690513219284603
CRP,0.9860031104199067
NLR_raw,1.0
PLR_raw,1.0
LH_FSH_ratio,0.11975116640746501
FAI,0.11975116640746501
HOMA_IR,0.20451010886469673
QUICKI,0.20451010886469673
TyG,0.1321928460342146
non_HDL,0.1181959564541213
TG_HDL_ratio,0.1181959564541213
ATA_TPO_log1p,0.1905132192846034
ATA_TG_log1p,0.25660964230171074
CORT_ratio_23_8,0.12130637636080871
NLR,0.29937791601866254
PLR,0.29937791601866254
MPR,0.29937791601866254
impaired_glucose_tolerance,0.13374805598755832
atherogenic_TG_HDL,0.1181959564541213
elevated_non_HDL,0.1181959564541213
insulin_resistance_HOMA_IR,0.20451010886469673
