space,feature,missing_rate,n_nonmissing,sd,qc_keep_primary
endocrine,LH,0.11975116640746501,1132,5.286738092764145,True
endocrine,FSH,0.11975116640746501,1132,2.9572597709587853,True
endocrine,LH_FSH_ratio,0.11975116640746501,1132,0.8701590599594151,True
endocrine,TESTO_TOTAL,0.11741835147744946,1135,0.1943638037133208,True
endocrine,TESTO_FREE,0.14618973561430793,1098,2.3292357368949306,True
endocrine,SHBG,0.11975116640746501,1132,31.16869482275432,True
endocrine,FAI,0.11975116640746501,1132,1.0666710602699094,True
endocrine,DHEA_S,0.11741835147744946,1135,133.07857490940904,True
endocrine,CORT_8,0.11975116640746501,1132,4.052496809163768,True
endocrine,CORT_23,0.12052877138413685,1131,2.54705245042629,True
endocrine,CORT_ratio_23_8,0.12130637636080871,1130,0.8213406220682221,True
metabolic,GLU0,0.1321928460342146,1116,6.055853320676728,True
metabolic,GLU120,0.13374805598755832,1114,29.57552489073337,True
metabolic,INS0,0.20217729393468117,1026,6.761442523776244,True
metabolic,HOMA_IR,0.20451010886469673,1023,1.4771562367309974,False
metabolic,QUICKI,0.20451010886469673,1023,0.033003085162531434,False
metabolic,TyG,0.1321928460342146,1116,0.4477213638478196,False
metabolic,TCHOL,0.1181959564541213,1134,30.29829119448518,True
metabolic,LDL,0.1181959564541213,1134,26.153749184589152,True
metabolic,HDL,0.1181959564541213,1134,14.126006634652667,True
metabolic,TG,0.1181959564541213,1134,43.50591463730246,True
metabolic,TG_HDL_ratio,0.1181959564541213,1134,1.286988282262004,False
metabolic,non_HDL,0.1181959564541213,1134,30.09771695371991,False
thyroid,TSH,0.11897356143079316,1133,1.0281537534324183,True
thyroid,FT4,0.11975116640746501,1132,0.1663677563781286,True
thyroid,ATA_TPO_log1p,0.1905132192846034,1041,0.7130454056322897,True
inflammatory,WBC,0.2690513219284603,940,1.5160713346747394,True
inflammatory,NEUT,0.29937791601866254,901,1.108338698731655,True
inflammatory,LYMPH,0.29937791601866254,901,0.6333640702993035,True
inflammatory,PLT,0.2690513219284603,940,54.29456460334087,True
inflammatory,NLR,0.29937791601866254,901,0.5775578365374231,True
inflammatory,PLR,0.29937791601866254,901,32.20935337859342,True
inflammatory,CRP,0.9860031104199067,18,13.395981496756328,False
