,PC1,PC2,PC3,PC4,PC5
LH,0.289094043962432,0.030412369897806303,0.6584237533946331,0.00478649197951987,-0.03994069452236142
FSH,-0.00435478897623609,-0.06165996602391114,0.22985207190820095,0.6569125472923902,-0.4257744197394308
LH_FSH_ratio,0.29431064710066035,0.06369788324352472,0.5367595117773469,-0.3634078859924896,0.18804514416710716
TESTO_TOTAL,0.37206450254840284,0.15510563755628085,0.01877421535328762,0.27278281606144483,0.16586155418945908
TESTO_FREE,0.4053602036418949,0.17575849508027822,-0.160919773129458,0.2711298373741114,0.10448997412005685
SHBG,-0.24029263090010422,-0.10710371529965425,0.2589527527342897,0.4326123852509007,0.35436406697907163
FAI,0.5187445375291403,0.23271719614765862,-0.2590179116051715,-0.12568287528406383,-0.18035135489976414
DHEA_S,0.2452967139269679,0.16233782754746642,-0.20852566602137437,0.282818814960588,0.1527158715650254
CORT_8,-0.004800690284778514,-0.040918567889166105,-0.09015495429558126,0.06591900808746512,0.665709530672591
CORT_23,-0.2594490763154016,0.6116304836165034,0.05383241874184962,0.029390168672704435,0.25786614002798747
CORT_ratio_23_8,-0.269618679686166,0.6844842302559592,0.10311237953486584,-0.01762409998264571,-0.2285715037199339
